channelName,readoutName,imageType,imagingRound,imageRegExp,bitNumber,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit17,V0017T8B1,stack,5,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),17,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,0,488
bit18,V0018T8B1,stack,5,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),18,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,0,488
bit19,V0019T8B1,stack,6,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),19,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,0,488
bit20,V0154T8B1,stack,6,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),20,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,0,488
bit21,V0021T8B1,stack,6,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),21,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,0,488
bit22,V0022T8B1,stack,7,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),22,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,0,488
bit23,V0023T8B1,stack,7,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),23,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,0,488
bit24,V0024T8B1,stack,7,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),24,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,0,488
bit25,V0025T8B1,stack,8,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),25,560,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),8,0,488
Slc1a2,Aux6,stack,9,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),9,0,488
Snap25,Aux5,stack,9,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),9,0,488
Fos,Aux4,stack,9,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),9,0,488
Mbp,Aux9,stack,10,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),,750,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),10,0,488
Gad1,Aux8,stack,10,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),,650,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),10,0,488
Slc17a7,Aux7,stack,10,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),,560,"[15,16,17,18,19,20,21]","[1.5,3,4.5,6,7.5,9,10.5]",stack,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),10,0,488
PolyT,,stack_prestain,-1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),,488,"[1,2,3,4,5,6,7]","[1.5,3,4.5,6,7.5,9,10.5]",stack_prestain,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,0,488
DAPI,,stack_prestain,-1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),,405,"[8,9,10,11,12,13,14]","[10.5,9,7.5,6,4.5,3,1.5]",stack_prestain,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,0,488
